wwtp,samp_date,parameter,effluent,influent,difference,formation
Valencia WRP,2020-11-18,PFOA,8.83,3.83,5,TRUE
Valencia WRP,2020-11-18,PFOS,2.27,0,2.27,TRUE
Valencia WRP,2020-11-18,PFPA,13.3,3.3,10,TRUE
Valencia WRP,2021-02-11,PFHxA,25.7,7.53,18.169999999999998,TRUE
Valencia WRP,2021-02-11,PFOA,8.62,2.64,5.979999999999999,TRUE
Valencia WRP,2021-02-11,PFPA,11.6,4.68,6.92,TRUE
Valencia WRP,2021-05-06,PFBS,3.24,0,3.24,TRUE
Valencia WRP,2021-05-06,PFHxA,23.7,6.72,16.98,TRUE
Valencia WRP,2021-05-06,PFOA,6.73,3.44,3.2900000000000005,TRUE
Valencia WRP,2021-05-06,PFOS,2.04,0,2.04,TRUE
Valencia WRP,2021-05-06,PFPA,12.2,5.63,6.569999999999999,TRUE
Valencia WRP,2021-08-12,PFHxA,20.9,11.8,9.099999999999998,TRUE
Valencia WRP,2021-08-12,PFHxS,3.71,0,3.71,TRUE
Valencia WRP,2021-08-12,PFOA,8.4,4.96,3.4400000000000004,TRUE
Valencia WRP,2021-08-12,PFPA,29.8,9.35,20.450000000000003,TRUE
