wwtp,samp_date,field_pt_name,parameter,mean_value
El Estero Water Resource Center NPDES,2021-02-17,effluent,PFHxS,5.966666666666667
El Estero Water Resource Center NPDES,2021-02-17,effluent,PFOA,9.066666666666666
El Estero Water Resource Center NPDES,2021-02-17,effluent,PFOS,4.633333333333334
El Estero Water Resource Center NPDES,2021-02-17,effluent,PFPA,39.666666666666664
El Estero Water Resource Center NPDES,2021-02-17,influent,PFHxA,25
El Estero Water Resource Center NPDES,2021-02-17,influent,PFHxS,27
El Estero Water Resource Center NPDES,2021-02-17,influent,PFOS,39
El Estero Water Resource Center NPDES,2021-02-17,influent,PFPA,25
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFBA,8.8
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFBS,4
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFDA,2.2333333333333334
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFHpA,4.575
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFHxA,31.75
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFHxS,6.675
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFNA,2.4
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFOA,15.25
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFOS,5.75
El Estero Water Resource Center NPDES,2021-05-05,effluent,PFPA,33.5
El Estero Water Resource Center NPDES,2021-05-05,influent,8:2FTS,4.1
El Estero Water Resource Center NPDES,2021-05-05,influent,MEFOSE,5
El Estero Water Resource Center NPDES,2021-05-05,influent,NETFOSAA,4
El Estero Water Resource Center NPDES,2021-05-05,influent,PFBA,10.98
El Estero Water Resource Center NPDES,2021-05-05,influent,PFBS,4.199999999999999
El Estero Water Resource Center NPDES,2021-05-05,influent,PFDA,2.3
El Estero Water Resource Center NPDES,2021-05-05,influent,PFDS,3.1
El Estero Water Resource Center NPDES,2021-05-05,influent,PFHpA,4.25
El Estero Water Resource Center NPDES,2021-05-05,influent,PFHxA,13.566666666666666
El Estero Water Resource Center NPDES,2021-05-05,influent,PFHxS,7.5
El Estero Water Resource Center NPDES,2021-05-05,influent,PFNA,3.45
El Estero Water Resource Center NPDES,2021-05-05,influent,PFOA,6.766666666666667
El Estero Water Resource Center NPDES,2021-05-05,influent,PFOS,8
El Estero Water Resource Center NPDES,2021-05-05,influent,PFPA,11.633333333333333
El Estero Water Resource Center NPDES,2021-05-05,influent,PFPES,2.05
El Estero Water Resource Center NPDES,2021-09-22,effluent,ETFOSA,23
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFBA,7.825
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFBS,3.2249999999999996
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFDA,1.8
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFHpA,3.45
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFHxA,29.75
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFHxS,3
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFOA,8
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFOS,4.075
El Estero Water Resource Center NPDES,2021-09-22,effluent,PFPA,44
El Estero Water Resource Center NPDES,2021-09-22,influent,MEFOSE,5.35
